feature_type,trial_number,n_clusters,subset_ratio,kernel,uspcale_size,c,final_gamma_value,mean_ap,AP_frog,AP_automobile,AP_bird,AP_cat,AP_deer
ORB,0,1000,0.4,rbf,(256, 256),0.1,scale,0.2852,0.3225,0.3053,0.3317,0.2388,0.2276
ORB,1,500,0.4,rbf,(64, 64),10.0,0.001,0.2389,0.1972,0.2896,0.2632,0.2136,0.2311
ORB,2,1500,0.5,rbf,(64, 64),10.0,0.01,0.2380,0.2605,0.2607,0.2754,0.1889,0.2043
ORB,3,500,0.5,linear,(256, 256),10.0,N/A,0.2502,0.2593,0.2630,0.2581,0.2323,0.2382
ORB,4,1500,0.4,rbf,(64, 64),10.0,0.01,0.2173,0.2524,0.2666,0.1879,0.1932,0.1867
ORB,5,1500,0.4,rbf,(64, 64),0.1,scale,0.2811,0.2807,0.2634,0.3384,0.2778,0.2451
ORB,6,1500,0.3,rbf,(96, 96),0.1,scale,0.3091,0.3397,0.3489,0.3785,0.2333,0.2453
ORB,7,500,0.5,linear,(64, 64),0.1,N/A,0.2392,0.2629,0.2210,0.2595,0.2188,0.2337
ORB,8,1500,0.5,linear,(256, 256),1.0,N/A,0.2445,0.2516,0.2590,0.2726,0.2106,0.2286
ORB,9,1500,0.5,linear,(64, 64),10.0,N/A,0.2306,0.2244,0.2306,0.2495,0.2035,0.2449
ORB,10,1000,0.3,rbf,(96, 96),1.0,scale,0.2852,0.3147,0.3162,0.3249,0.2256,0.2446
ORB,11,1000,0.3,rbf,(96, 96),1.0,scale,0.2915,0.3108,0.2905,0.3496,0.2486,0.2580
ORB,12,1000,0.3,rbf,(96, 96),1.0,scale,0.2750,0.3166,0.2674,0.3158,0.2202,0.2550
ORB,13,1000,0.3,rbf,(96, 96),1.0,scale,0.2970,0.3144,0.3153,0.3332,0.2584,0.2636
ORB,14,1000,0.3,rbf,(128, 128),0.1,0.001,0.2510,0.2210,0.2705,0.3004,0.2346,0.2284
ORB,15,1500,0.3,rbf,(96, 96),1.0,scale,0.2898,0.3077,0.3446,0.3212,0.2257,0.2500
ORB,16,1000,0.3,rbf,(96, 96),0.1,scale,0.3058,0.3675,0.3117,0.3557,0.2396,0.2544
ORB,17,1000,0.3,rbf,(128, 128),0.1,scale,0.2879,0.2937,0.3148,0.3575,0.2377,0.2361
ORB,18,1500,0.3,linear,(96, 96),0.1,N/A,0.2626,0.2496,0.2622,0.2747,0.2481,0.2784
ORB,19,500,0.3,rbf,(96, 96),0.1,0.001,0.2487,0.2655,0.2851,0.2484,0.2237,0.2209
ORB,20,1500,0.3,rbf,(96, 96),0.1,0.01,0.2589,0.2403,0.2896,0.2806,0.2538,0.2302
ORB,21,1000,0.3,rbf,(96, 96),1.0,scale,0.2881,0.3208,0.3053,0.3333,0.2642,0.2170
ORB,22,1000,0.3,rbf,(96, 96),0.1,scale,0.2888,0.2961,0.3378,0.3303,0.2385,0.2413
ORB,23,1000,0.3,rbf,(96, 96),0.1,scale,0.2872,0.3323,0.3120,0.3310,0.2376,0.2232
ORB,24,1000,0.3,rbf,(128, 128),1.0,scale,0.3059,0.3229,0.3519,0.3301,0.2698,0.2547
ORB,25,1000,0.3,rbf,(128, 128),0.1,scale,0.3072,0.3370,0.3505,0.3341,0.2660,0.2484
ORB,26,1000,0.3,linear,(128, 128),1.0,N/A,0.2623,0.2510,0.2880,0.2780,0.2610,0.2337
ORB,27,1000,0.3,rbf,(128, 128),0.1,scale,0.2922,0.3290,0.2834,0.3489,0.2526,0.2469
ORB,28,500,0.4,rbf,(128, 128),0.1,0.01,0.2468,0.2731,0.2403,0.2557,0.2242,0.2406
ORB,29,1500,0.3,rbf,(128, 128),1.0,0.001,0.2474,0.2672,0.2777,0.2636,0.2158,0.2126
