feature_type,trial_number,n_clusters,subset_ratio,kernel,uspcale_size,c, final_gamma_value,mean_ap,AP_frog,AP_automobile,AP_bird,AP_cat,AP_deer
SIFT,0,1500,0.4,rbf,(128, 128),1.0,0.001,0.3084,0.2362,0.4850,0.3432,0.2392,0.2386
SIFT,1,1500,0.4,rbf,(64, 64),1.0,0.01,0.3191,0.2578,0.5048,0.3366,0.2542,0.2418
SIFT,2,1000,0.4,linear,(96, 96),10.0,N/A,0.3089,0.2405,0.4364,0.3458,0.2832,0.2387
SIFT,3,500,0.4,linear,(64, 64),10.0,N/A,0.3140,0.2571,0.4657,0.3483,0.2657,0.2330
SIFT,4,500,0.5,rbf,(128, 128),10.0,0.01,0.3149,0.2123,0.4893,0.3565,0.2605,0.2560
SIFT,5,500,0.4,rbf,(128, 128),0.1,scale,0.3453,0.2559,0.5269,0.4021,0.2739,0.2676
SIFT,6,1500,0.4,rbf,(128, 128),10.0,0.01,0.3225,0.2456,0.5080,0.3602,0.2513,0.2473
SIFT,7,500,0.3,linear,(128, 128),0.1,N/A,0.3311,0.2667,0.4815,0.3710,0.2682,0.2679
SIFT,8,1500,0.3,rbf,(256, 256),0.1,0.001,0.3179,0.2831,0.4638,0.3336,0.2578,0.2512
SIFT,9,500,0.4,linear,(128, 128),1.0,N/A,0.3151,0.2390,0.4732,0.3435,0.2616,0.2583
SIFT,10,1000,0.5,rbf,(256, 256),0.1,scale,0.3426,0.2638,0.5327,0.4177,0.2434,0.2555
SIFT,11,1000,0.5,rbf,(256, 256),0.1,scale,0.3425,0.2848,0.4955,0.4032,0.2897,0.2394
SIFT,12,1000,0.5,rbf,(256, 256),0.1,scale,0.3480,0.2723,0.5242,0.4189,0.2866,0.2378
SIFT,13,1000,0.5,rbf,(96, 96),0.1,scale,0.3599,0.2615,0.5603,0.4442,0.2768,0.2570
SIFT,14,1000,0.5,rbf,(96, 96),0.1,scale,0.3496,0.2975,0.4990,0.4086,0.2640,0.2791
SIFT,15,1000,0.5,rbf,(96, 96),0.1,scale,0.3317,0.2760,0.4686,0.4063,0.2673,0.2405
SIFT,16,1000,0.5,rbf,(96, 96),0.1,scale,0.3417,0.2770,0.4844,0.4299,0.2510,0.2662
SIFT,17,1000,0.5,rbf,(96, 96),0.1,scale,0.3475,0.2832,0.4949,0.4223,0.2494,0.2875
SIFT,18,1000,0.5,linear,(96, 96),0.1,N/A,0.3162,0.2442,0.4583,0.3787,0.2404,0.2592
SIFT,19,1000,0.3,rbf,(96, 96),1.0,scale,0.3493,0.2542,0.5133,0.4501,0.2509,0.2778
SIFT,20,1000,0.5,rbf,(96, 96),0.1,0.001,0.3075,0.2631,0.4299,0.3545,0.2422,0.2477
SIFT,21,1000,0.3,rbf,(96, 96),1.0,scale,0.3558,0.2705,0.4909,0.4220,0.3118,0.2840
SIFT,22,1000,0.3,rbf,(96, 96),1.0,scale,0.3652,0.2743,0.5755,0.4211,0.2480,0.3070
SIFT,23,1000,0.3,rbf,(96, 96),1.0,scale,0.3545,0.3036,0.5455,0.4016,0.2689,0.2527
SIFT,24,1000,0.3,rbf,(96, 96),1.0,scale,0.3593,0.2961,0.5153,0.4117,0.2806,0.2926
SIFT,25,1000,0.3,rbf,(64, 64),1.0,scale,0.3598,0.2745,0.5539,0.4133,0.2634,0.2937
SIFT,26,1000,0.3,linear,(64, 64),1.0,N/A,0.3352,0.2356,0.5216,0.3742,0.2392,0.3055
SIFT,27,1000,0.3,rbf,(64, 64),1.0,scale,0.3617,0.3066,0.4989,0.4259,0.3067,0.2703
SIFT,28,1500,0.3,rbf,(64, 64),1.0,0.001,0.3045,0.2372,0.4632,0.3376,0.2520,0.2324
SIFT,29,1000,0.3,rbf,(64, 64),1.0,0.01,0.3224,0.2336,0.4632,0.3750,0.2850,0.2550
